idx,project,filename,window_start,window_end,label,logits
266,BombRun,20260408_055940.WAV,0.0,5.0,A_Bomba1,0.72930187
267,BombRun,20260408_060045.WAV,0.0,5.0,A_Bomba1,0.55901974
268,BombRun,20260407_140445.WAV,0.0,5.0,A_Bomba1,0.5567457
269,BombRun,20260407_171840.WAV,0.0,5.0,A_Bomba1,0.52075756
270,BombRun,20260408_122510.WAV,0.0,5.0,A_Bomba1,0.60879886
271,BombRun,20260408_123140.WAV,0.0,5.0,A_Bomba1,0.6862516
272,BombRun,20260408_121025.WAV,0.0,5.0,A_Bomba1,0.62752
273,BombRun,20260407_013035.WAV,0.0,5.0,A_Bomba1,0.38193572
274,BombRun,20260408_114920.WAV,0.0,5.0,A_Bomba1,0.6405657
275,BombRun,20260408_061415.WAV,0.0,5.0,A_Bomba1,0.6235942
276,BombRun,20260407_172420.WAV,0.0,5.0,A_Bomba1,0.58308864
277,BombRun,20260408_054445.WAV,0.0,5.0,A_Bomba1,0.61714745
278,BombRun,20260408_123815.WAV,0.0,5.0,A_Bomba1,0.485538
279,BombRun,20260407_011805.WAV,0.0,5.0,A_Bomba1,0.4034437
280,BombRun,20260407_141940.WAV,0.0,5.0,A_Bomba1,0.68427616
281,BombRun,20260408_084300.WAV,0.0,5.0,A_Bomba1,0.72207725
282,BombRun,20260408_085750.WAV,0.0,5.0,A_Bomba1,0.7779671
283,BombRun,20260408_055015.WAV,0.0,5.0,A_Bomba1,0.65808064
284,BombRun,20260408_060910.WAV,0.0,5.0,A_Bomba1,0.38822648
285,BombRun,20260408_124820.WAV,0.0,5.0,A_Bomba1,0.59154046
286,BombRun,20260408_115425.WAV,0.0,5.0,A_Bomba1,0.5889151
287,BombRun,20260408_062040.WAV,0.0,5.0,A_Bomba1,0.6089825
288,BombRun,20260407_000115.WAV,0.0,5.0,A_Bomba1,0.24347776
289,BombRun,20260407_140525.WAV,0.0,5.0,A_Bomba1,0.6645044
290,BombRun,20260407_171920.WAV,0.0,5.0,A_Bomba1,0.44401416
291,BombRun,20260408_060125.WAV,0.0,5.0,A_Bomba1,0.559482
292,BombRun,20260408_124015.WAV,0.0,5.0,A_Bomba1,0.70630485
293,BombRun,20260407_135810.WAV,0.0,5.0,A_Bomba1,0.39538
294,BombRun,20260408_055820.WAV,0.0,5.0,A_Bomba1,0.39500862
295,BombRun,20260407_012505.WAV,0.0,5.0,A_Bomba1,0.40564683
296,BombRun,20260408_120515.WAV,0.0,5.0,A_Bomba1,0.60919356
297,BombRun,20260408_114840.WAV,0.0,5.0,A_Bomba1,0.79079324
298,BombRun,20260407_013155.WAV,0.0,5.0,A_Bomba1,0.47044805
299,BombRun,20260408_121145.WAV,0.0,5.0,A_Bomba1,0.71171695
300,BombRun,20260408_052815.WAV,0.0,5.0,A_Bomba1,0.53912413
301,BombRun,20260408_123020.WAV,0.0,5.0,A_Bomba1,0.6213137
302,BombRun,20260408_090215.WAV,0.0,5.0,A_Bomba1,0.5315101
303,BombRun,20260407_141820.WAV,0.0,5.0,A_Bomba1,0.46601945
304,BombRun,20260408_114115.WAV,0.0,5.0,A_Bomba1,0.73741555
305,BombRun,20260408_121810.WAV,0.0,5.0,A_Bomba1,0.8082003
306,BombRun,20260407_013800.WAV,0.0,5.0,A_Bomba1,0.4427883
307,BombRun,20260408_054525.WAV,0.0,5.0,A_Bomba1,0.675995
308,BombRun,20260407_172540.WAV,0.0,5.0,A_Bomba1,0.5880664
309,BombRun,20260408_115545.WAV,0.0,5.0,A_Bomba1,0.53944564
310,BombRun,20260407_173110.WAV,0.0,5.0,A_Bomba1,0.48199233
311,BombRun,20260408_085630.WAV,0.0,5.0,A_Bomba1,0.72332275
312,BombRun,20260407_142130.WAV,0.0,5.0,A_Bomba1,0.6389417
313,BombRun,20260408_060455.WAV,0.0,5.0,A_Bomba1,0.6395487
314,BombRun,20260407_140055.WAV,0.0,5.0,A_Bomba1,0.5129138
315,BombRun,20260408_122100.WAV,0.0,5.0,A_Bomba1,0.71992683
316,BombRun,20260408_053935.WAV,0.0,5.0,A_Bomba1,0.7260211
317,BombRun,20260408_123550.WAV,0.0,5.0,A_Bomba1,0.8335686
318,BombRun,20260407_011540.WAV,0.0,5.0,A_Bomba1,0.52366257
319,BombRun,20260407_141405.WAV,0.0,5.0,A_Bomba1,0.44400087
320,BombRun,20260408_054900.WAV,0.0,5.0,A_Bomba1,0.54236627
321,BombRun,20260407_013425.WAV,0.0,5.0,A_Bomba1,0.39198592
322,BombRun,20260408_121435.WAV,0.0,5.0,A_Bomba1,0.7480226
323,BombRun,20260408_061005.WAV,0.0,5.0,A_Bomba1,0.6773425
324,BombRun,20260409_060940.WAV,0.0,5.0,A_Bomba1,0.2785041
325,BombRun,20260407_172030.WAV,0.0,5.0,A_Bomba1,0.56989855
326,BombRun,20260408_054055.WAV,0.0,5.0,A_Bomba1,0.49768716
327,BombRun,20260408_061950.WAV,0.0,5.0,A_Bomba1,0.9765257
328,BombRun,20260408_084710.WAV,0.0,5.0,A_Bomba1,0.80527854
329,BombRun,20260407_140900.WAV,0.0,5.0,A_Bomba1,0.5965622
330,BombRun,20260407_171505.WAV,0.0,5.0,A_Bomba1,0.66278076
331,BombRun,20260408_122855.WAV,0.0,5.0,A_Bomba1,0.69300026
332,BombRun,20260408_085340.WAV,0.0,5.0,A_Bomba1,0.94009703
333,BombRun,20260408_091335.WAV,0.0,5.0,A_Bomba1,0.7033022
334,BombRun,20260408_120930.WAV,0.0,5.0,A_Bomba1,0.8082273
335,BombRun,20260407_012920.WAV,0.0,5.0,A_Bomba1,0.4426395
336,BombRun,20260408_055405.WAV,0.0,5.0,A_Bomba1,0.52267915
337,BombRun,20260408_083725.WAV,0.0,5.0,A_Bomba1,0.6696103
338,BombRun,20260408_115035.WAV,0.0,5.0,A_Bomba1,0.7148818
339,BombRun,20260409_060950.WAV,0.0,5.0,A_Bomba1,0.46467453
340,BombRun,20260407_172020.WAV,0.0,5.0,A_Bomba1,0.664892
341,BombRun,20260408_054045.WAV,0.0,5.0,A_Bomba1,0.43641046
342,BombRun,20260408_061940.WAV,0.0,5.0,A_Bomba1,0.685591
343,BombRun,20260408_084700.WAV,0.0,5.0,A_Bomba1,0.7564242
344,BombRun,20260407_171515.WAV,0.0,5.0,A_Bomba1,0.7686388
345,BombRun,20260408_122845.WAV,0.0,5.0,A_Bomba1,0.60071033
346,BombRun,20260408_085350.WAV,0.0,5.0,A_Bomba1,0.6552033
347,BombRun,20260408_091325.WAV,0.0,5.0,A_Bomba1,0.6237331
348,BombRun,20260408_055415.WAV,0.0,5.0,A_Bomba1,0.593154
