"site","file","date_chile","hour_chile","boat_tonality","n_harmonic_peaks","peak_freq"
"Zapallar 32","20251023_051030.WAV","2025-10-23",2,30.936,4,109.6
"Zapallar 32","20251023_052530.WAV","2025-10-23",2,57.358,3,109.6
"Zapallar 32","20251023_052700.WAV","2025-10-23",2,32.139,3,109.6
"Zapallar 32","20251023_054930.WAV","2025-10-23",2,49.665,3,109.6
"Zapallar 32","20251023_055530.WAV","2025-10-23",2,32.176,3,109.6
"Zapallar 32","20251023_055830.WAV","2025-10-23",2,33.398,3,109.6
"Zapallar 32","20251023_060130.WAV","2025-10-23",3,31.264,3,109.6
"Zapallar 32","20251023_060730.WAV","2025-10-23",3,33.754,3,109.6
"Zapallar 32","20251023_061800.WAV","2025-10-23",3,36.809,3,109.6
"Zapallar 32","20251023_061930.WAV","2025-10-23",3,47.378,3,109.6
"Zapallar 32","20251023_062530.WAV","2025-10-23",3,41.368,3,109.6
"Zapallar 32","20251023_070300.WAV","2025-10-23",4,36.947,3,109.6
"Zapallar 32","20251023_070730.WAV","2025-10-23",4,39.851,3,109.6
"Zapallar 32","20251023_071800.WAV","2025-10-23",4,34.969,3,109.6
"Zapallar 32","20251023_071930.WAV","2025-10-23",4,32.027,3,109.6
"Zapallar 32","20251023_072830.WAV","2025-10-23",4,71.337,3,109.6
"Zapallar 32","20251023_074500.WAV","2025-10-23",4,36.189,3,109.6
"Zapallar 32","20251023_075700.WAV","2025-10-23",4,38.884,3,109.6
"Zapallar 32","20251023_080000.WAV","2025-10-23",5,39.542,3,125.2
"Zapallar 32","20251023_080730.WAV","2025-10-23",5,45.432,3,109.6
"Zapallar 32","20251023_080900.WAV","2025-10-23",5,47.353,3,109.6
"Zapallar 32","20251023_081930.WAV","2025-10-23",5,32.479,3,125.2
"Zapallar 32","20251023_082230.WAV","2025-10-23",5,30.58,3,109.6
"Zapallar 32","20251023_082400.WAV","2025-10-23",5,31.745,3,109.6
"Zapallar 32","20251023_083130.WAV","2025-10-23",5,53.949,3,109.6
"Zapallar 32","20251023_083430.WAV","2025-10-23",5,55.475,3,109.6
